"","province_code","house_cat","year","month","n","median","mean","stand_dev","variance","IQR","q25","q75","median_scaled","date"
"1876","sulawesi-tengah","A",2016,1,37,4042553.19148936,4283175.96319081,1257097.73322679,1580294710883.94,1597222.22222222,3402777.77777778,5e+06,100,Jan 2016
"1877","sulawesi-tengah","A",2016,2,59,4166666.66666667,4437938.31704112,1439029.84528921,2070806895633.07,1816666.66666667,3333333.33333333,5150000,103.070175438596,Feb 2016
"1878","sulawesi-tengah","A",2016,3,40,3402777.77777778,4556634.25986069,2318510.56452968,5375491237835.76,1672297.2972973,3327702.7027027,5e+06,84.1739766081871,Mar 2016
"1879","sulawesi-tengah","A",2016,4,40,3445574.93540052,4515448.78105639,1768744.66600706,3128457693528.44,2355855.85585586,3310810.81081081,5666666.66666667,85.2326431388549,Apr 2016
"1880","sulawesi-tengah","A",2016,5,72,3809523.80952381,4425309.69695662,1958367.00051407,3835201308702.47,1689189.18918919,3310810.81081081,5e+06,94.2355889724311,May 2016
"1881","sulawesi-tengah","A",2016,6,36,3403516.54846336,4086962.26071296,1357726.06511901,1843420067903.55,997222.222222222,3402777.77777778,4400000,84.1922514619883,Jun 2016
"1882","sulawesi-tengah","A",2016,7,47,3402777.77777778,4165744.23143093,2204482.39988569,4859742651405.78,1611111.11111111,3128472.22222222,4739583.33333333,84.1739766081871,Jul 2016
"1883","sulawesi-tengah","A",2016,8,41,4145833.33333333,4874660.28287594,2382209.20868604,5674920713948.56,2105855.85585586,3310810.81081081,5416666.66666667,102.554824561404,Aug 2016
"1884","sulawesi-tengah","A",2016,9,43,5e+06,5983303.07857923,3025401.78479767,9153055959456.92,3506944.44444444,3506944.44444444,7013888.88888889,123.684210526316,Sep 2016
"1885","sulawesi-tengah","A",2016,10,84,5944444.44444444,7284275.88406823,3382627.86312454,11442171260386.5,4667385.05747127,4603448.27586207,9270833.33333333,147.046783625731,Oct 2016
"1886","sulawesi-tengah","A",2016,11,60,5807291.66666667,6784936.12610132,3184604.4413341,10141705447764.9,4619517.54385965,4270833.33333333,8890350.87719298,143.654057017544,Nov 2016
"1887","sulawesi-tengah","A",2016,12,70,8875000,8669033.60618825,3482130.10485178,12125230067115,5426388.88888889,5462500,10888888.8888889,219.539473684211,Dec 2016
"1888","sulawesi-tengah","A",2017,1,208,8333333.33333333,8588440.63167382,3272118.59109981,10706760074221,6275000,4975000,11250000,206.140350877193,Jan 2017
"1889","sulawesi-tengah","A",2017,2,88,7850146.19883041,7791422.8416959,3221245.37952212,10376421795092.6,4774305.55555556,4986111.11111111,9760416.66666667,194.1878270237,Feb 2017
"1890","sulawesi-tengah","A",2017,3,69,8225000,7866849.16929949,3267919.0672782,10679295030280.4,6151111.11111111,4888888.88888889,11040000,203.460526315789,Mar 2017
"1891","sulawesi-tengah","A",2017,4,32,6437500,6999253.84560235,3235836.11081245,10470635336037.9,5472222.22222222,4e+06,9472222.22222222,159.243421052632,Apr 2017
"1892","sulawesi-tengah","A",2017,5,35,4700000,4935011.2978995,2039178.38347203,4158248479619.6,2351449.27536232,3583333.33333333,5934782.60869565,116.263157894737,May 2017
"1893","sulawesi-tengah","A",2017,6,25,6388888.88888889,6777108.91951597,2663925.87918429,7096501089787.78,4875000,4125000,9e+06,158.040935672515,Jun 2017
"1894","sulawesi-tengah","B",2016,1,38,4833333.33333333,4801196.03596689,1606453.33435988,2580692315475.98,2144164.86291486,3579861.11111111,5724025.97402597,100,Jan 2016
"1895","sulawesi-tengah","B",2016,2,36,4688636.36363636,5125356.68307727,2241438.42089893,5024046194681.89,2093005.95238095,3645833.33333333,5738839.28571429,97.0062695924765,Feb 2016
"1896","sulawesi-tengah","B",2016,3,40,5e+06,5378007.99756174,2096971.73841909,4397290471728.39,2694040.56088839,3825757.57575758,6519798.13664596,103.448275862069,Mar 2016
"1897","sulawesi-tengah","B",2016,4,29,5303030.3030303,5009439.20624718,1593231.5195374,2538386674847.46,2772727.27272727,3500000,6272727.27272727,109.717868338558,Apr 2016
"1898","sulawesi-tengah","B",2016,5,39,5428571.42857143,5674110.52010673,2144673.23884106,4599623301400.99,2208603.8961039,4187500,6396103.8961039,112.315270935961,May 2016
"1899","sulawesi-tengah","B",2016,6,34,4820512.82051282,4637037.07237902,1296337.88216485,1680491904735.64,1750000,3750000,5500000,99.73474801061,Jun 2016
"1900","sulawesi-tengah","B",2016,7,47,5277777.77777778,5776090.52342381,2949481.64425418,8699441969792.36,2475806.4516129,3964285.71428571,6440092.16589862,109.195402298851,Jul 2016
"1901","sulawesi-tengah","B",2016,8,46,5277777.77777778,4972195.60727385,1572626.33829126,2473153599887.37,2061842.10526316,3763157.89473684,5825000,109.195402298851,Aug 2016
"1902","sulawesi-tengah","B",2016,9,64,5600358.42293907,7598632.74087817,4127696.61689402,17037879361118.3,6247354.99716607,4850746.26865672,11098101.2658228,115.869484612532,Sep 2016
"1903","sulawesi-tengah","B",2016,10,63,5937500,6833775.47942653,3674724.2715098,13503598471623.2,6085204.08163265,3660714.28571429,9745918.36734694,122.844827586207,Oct 2016
"1904","sulawesi-tengah","B",2016,11,42,6160714.28571429,7115467.93462093,3503166.44741135,12272175158268.6,5582192.46031746,4414682.53968254,9996875,127.463054187192,Nov 2016
"1905","sulawesi-tengah","B",2016,12,54,7760101.01010101,7905241.91687442,3679477.84027047,13538557177041.4,5973846.65367122,4334795.32163743,10308641.9753086,160.55381400209,Dec 2016
"1906","sulawesi-tengah","B",2017,1,107,6909090.90909091,7209968.22638686,3101211.07974148,9617510161111.31,5759128.8811528,4549513.09415584,10308641.9753086,142.94670846395,Jan 2017
"1907","sulawesi-tengah","B",2017,2,65,7211538.46153846,7704810.99648626,3724370.75690325,13870937534876.1,5935064.93506494,4155844.15584416,10090909.0909091,149.20424403183,Feb 2017
"1908","sulawesi-tengah","B",2017,3,132,9904995.085,9864221.67963134,3194498.5461971,10204820961655.4,4099247.68518519,8294270.83333333,12393518.5185185,204.930932793103,Mar 2017
"1909","sulawesi-tengah","B",2017,4,33,6e+06,6603264.63630274,3356246.12612754,11264388059146.1,5560714.28571429,3839285.71428571,9400000,124.137931034483,Apr 2017
"1910","sulawesi-tengah","B",2017,5,39,4824561.40350877,5256901.59017148,2099815.31951113,4409224376053.64,1565476.19047619,4208333.33333333,5773809.52380952,99.8185117967332,May 2017
"1911","sulawesi-tengah","B",2017,6,22,9513888.88888889,8612968.52788788,4243590.6253844,18008061395850.3,7706845.23809524,4516369.04761905,12223214.2857143,196.83908045977,Jun 2017
"1912","sulawesi-tengah","C",2016,1,28,3231884.05797101,4719550.49594756,2873401.92808418,8256438640317.89,3064903.84615385,2906250,5971153.84615385,100,Jan 2016
"1913","sulawesi-tengah","C",2016,2,54,4472727.27272727,4895783.51656093,1992510.34208916,3970097463332.27,2761769.48051948,3147321.42857143,5909090.90909091,138.393803505911,Feb 2016
"1914","sulawesi-tengah","C",2016,3,32,4615384.61538462,5020979.85940965,2596352.91907627,6741048480395.88,2977843.91534392,2979910.71428571,5957754.62962963,142.807864780959,Mar 2016
"1915","sulawesi-tengah","C",2016,4,13,4516129.03225806,4677318.40066157,2237843.02288534,5007941395076.61,1666666.66666667,3333333.33333333,5e+06,139.736727903949,Apr 2016
"1916","sulawesi-tengah","C",2016,5,22,3854986.87664042,4819929.14753185,2491156.23068963,6205859365703.79,2584387.74564331,3166330.64516129,5750718.3908046,119.279862999188,May 2016
"1917","sulawesi-tengah","C",2016,6,17,4e+06,4597476.30462389,2200856.10398134,4843767590431.94,3988095.23809524,2678571.42857143,6666666.66666667,123.766816143498,Jun 2016
"1918","sulawesi-tengah","C",2016,7,23,4e+06,4571697.45048175,2036985.30474181,4149309131734.08,1198809.52380952,3366666.66666667,4565476.19047619,123.766816143498,Jul 2016
"1919","sulawesi-tengah","C",2016,8,36,3557692.30769231,5168723.12832368,3104151.65008847,9635757466746.99,4322698.13519813,2770833.33333333,7093531.46853147,110.081062435323,Aug 2016
"1920","sulawesi-tengah","C",2016,9,49,5e+06,6724416.69391935,3852275.97785579,14840030209564.8,6512422.36024845,3130434.7826087,9642857.14285714,154.708520179372,Sep 2016
"1921","sulawesi-tengah","C",2016,10,47,5555555.55555556,6753202.34672768,3708327.43519673,13751692366632.8,6950856.91281344,3087962.96296296,10038819.8757764,171.898355754858,Oct 2016
"1922","sulawesi-tengah","C",2016,11,43,3928571.42857143,5652883.79104024,3501891.31633888,12263242791449.6,4277777.77777778,2958333.33333333,7236111.11111111,121.55669442665,Nov 2016
"1923","sulawesi-tengah","C",2016,12,37,5800000,6764648.03868972,3572274.4152441,12761144497807.6,6309523.80952381,3333333.33333333,9642857.14285714,179.461883408072,Dec 2016
"1924","sulawesi-tengah","C",2017,1,76,9238505.74712644,7653980.71967778,3373881.8529282,11383078757518.2,4788862.17948718,4669471.15384615,9458333.33333333,285.855110561311,Jan 2017
"1925","sulawesi-tengah","C",2017,2,65,7692307.69230769,7588179.01870855,3267605.9340558,10677248540276.7,4667142.86514286,4892857.14285714,9560000.008,238.013107968265,Feb 2017
"1926","sulawesi-tengah","C",2017,3,47,11075581.3953488,9748089.63738372,2926099.37141885,8562057531417.81,2892065.27484144,8678646.93446089,11570712.2093023,342.697361560121,Mar 2017
"1927","sulawesi-tengah","C",2017,4,23,9027777.77777778,8555881.77010963,3693052.36237477,13638635751241.9,5079394.31143851,5957642.72559853,11037037.037037,279.334828101644,Apr 2017
"1928","sulawesi-tengah","C",2017,5,34,4938071.89542484,5715002.62082984,3357992.70876785,11276115032138,5176693.40463458,2768382.35294118,7945075.75757576,152.792359096105,May 2017
"1929","sulawesi-tengah","C",2017,6,17,4111842.10526316,5392488.72643901,3451774.35185935,11914746176154.1,1185171.56862745,3385416.66666667,4570588.23529412,127.2274014633,Jun 2017
"1930","sulawesi-tengah","D",2016,1,14,5353535.35353535,4988148.85857326,2105381.56380856,4432631529224.97,3475262.41679467,2998751.92012289,6474014.33691756,100,Jan 2016
"1931","sulawesi-tengah","D",2016,2,7,4310344.82758621,4227186.33561052,1521457.95709383,2314834315204.13,1430332.73915627,3208556.14973262,4638888.88888889,80.5139882888744,Feb 2016
"1932","sulawesi-tengah","D",2016,3,18,5625000,5547967.28208819,2309346.1719445,5333079741874.73,3332056.71035479,3388625.59241706,6720682.30277186,105.070754716981,Mar 2016
"1933","sulawesi-tengah","D",2016,4,6,6145833.33333333,6533370.71800953,3491107.39232873,12187830824772.3,5690832.22391277,3977272.72727273,9668104.95118549,114.799528301887,Apr 2016
